POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LATITUDE,LONGITUDE
411-01170,411-01003,17,Grey,MS,Y,N,SFMTA,ON,0,117,FELL ST,5440000,Area 5,Civic Center,37.77620549,-122.4202497
442-06100,-,0,Yellow,SS,Y,N,SFMTA,ON,0,610,GOLDEN GATE AVE,6266000,Area 5,Civic Center,37.7810313,-122.4209682
442-06320,-,0,Grey,SS,Y,N,SFMTA,ON,0,632,GOLDEN GATE AVE,6266000,Area 5,Civic Center,37.7809466,-122.4216334
442-06360,-,0,Grey,SS,Y,N,SFMTA,ON,0,636,GOLDEN GATE AVE,6266000,Area 5,Civic Center,37.7809275,-122.4217831
330-05810,-,0,Grey,SS,Y,N,SFMTA,ON,0,581,BRANNAN ST,3080000,Area 5,South Embarcadero,37.7768561,-122.3982274
703-00120,-,0,Grey,SS,N,N,SFMTA,ON,0,12,VICENTE ST,13235000,Area 3,,37.7395659,-122.4665528
664-16110,-,0,Grey,SS,N,N,SFMTA,ON,0,1611,STOCKTON ST,12214000,Area 3,,37.8007893,-122.409317
664-16210,-,0,Grey,SS,N,N,SFMTA,ON,0,1621,STOCKTON ST,12214000,Area 3,,37.8010367,-122.4093685
444-12010,-,0,Grey,SS,N,N,SFMTA,ON,0,1201,GRANT AVE,6401000,Area 3,,37.7984658,-122.4071962
444-12090,-,0,Grey,SS,N,N,SFMTA,ON,0,1209,GRANT AVE,6402000,Area 3,,37.7986252,-122.4072273
419-03180,-,0,Grey,SS,Y,N,SFMTA,ON,0,318,FRANKLIN ST,5803000,Area 5,Civic Center,37.7775736,-122.421341
444-06250,-,0,Grey,SS,N,N,SFMTA,ON,0,625,GRANT AVE,6392000,Area 5,Downtown,37.7931975,-122.406134
691-15290,-,0,Grey,SS,N,N,SFMTA,ON,0,1529,UNION ST,12864000,Area 3,,37.7983561,-122.4250373
444-13230,-,0,Grey,SS,N,N,SFMTA,ON,0,1323,GRANT AVE,6403000,Area 3,,37.7994634,-122.4073991
701-07070,701-07001,7,Grey,MS,Y,N,SFMTA,ON,0,707,VAN NESS AVE,13149101,Area 5,Civic Center,37.7822467,-122.4208501
701-07120,701-07002,12,Green,MS,Y,N,SFMTA,ON,0,712,VAN NESS AVE,13149201,Area 5,Civic Center,37.782341,-122.4205433
418-08080,-,0,Grey,SS,N,N,SFMTA,ON,0,808,FOLSOM ST,5664000,Area 5,South Embarcadero,37.7819228,-122.4014396
423-01060,423-01002,6,Grey,MS,Y,N,SFMTA,ON,0,106,FULTON ST,5881000,Area 5,Civic Center,37.77989851,-122.4153609
831-05590,831-05003,59,Grey,MS,N,N,PORT,ON,0,559,EMBARCADERO SOUTH,12548201,Area 5,South Embarcadero,37.7858232,-122.3877091
360-01140,-,0,Grey,SS,N,N,SFMTA,ON,0,114,CLEMENT ST,4151000,Area 3,,37.78319122,-122.4607441
355-02390,-,0,Grey,SS,N,N,SFMTA,ON,0,239,CHURCH ST,4010000,Area 3,,37.7662865,-122.4287256
440-38260,-,0,Black,SS,N,N,SFMTA,ON,0,3826,GEARY BLVD,6058201,MC3,,37.7813194,-122.4606568
666-12230,-,0,Grey,SS,N,N,SFMTA,ON,0,1223,SUTTER ST,12330000,Area 3,,37.7876112,-122.4207713
666-12260,-,0,Green,SS,N,N,SFMTA,ON,0,1226,SUTTER ST,12330000,Area 3,,37.7877195,-122.4208991
445-00820,-,0,Grey,SS,N,N,SFMTA,ON,0,82,GREEN ST,6439000,Area 3,,37.8005944,-122.4008293
651-11140,-,0,Grey,SS,N,N,SFMTA,ON,0,1114,SANSOME ST,11557000,Area 3,,37.8007922,-122.4026224
542-00170,-,0,Grey,SS,Y,N,SFMTA,ON,0,17,LARKIN ST,8120000,Area 5,Civic Center,37.7783389,-122.4165982
823-00300,823-00004,30,Grey,MS,N,N,PORT,ON,0,30,CHESTNUT ST,3950000,Port 4,,37.8048714,-122.4047531
823-00320,823-00004,32,Grey,MS,N,N,PORT,ON,0,32,CHESTNUT ST,3950000,Port 4,,37.8048635,-122.4048164
823-00360,823-00004,36,Grey,MS,N,N,PORT,ON,0,36,CHESTNUT ST,3950000,Port 4,,37.8048405,-122.4049774
303-05290,-,0,Grey,SS,N,N,SFMTA,ON,0,529,ASHBURY ST,2512000,Area 3,,37.7701591,-122.4470324
329-00020,-,0,Grey,SS,N,N,SFMTA,ON,0,2,BELVEDERE ST,2908000,Area 3,,37.76955132,-122.4495546
857-17130,857-17001,13,Black,MS,N,N,PORT,ON,0,1713,MONTGOMERY ST,9321000,PortMC1,,37.8049427,-122.4052674
857-17200,857-17002,20,Grey,MS,N,N,PORT,ON,0,1720,MONTGOMERY ST,9321000,Port 4,,37.8053649,-122.4052196
107-04070,-,0,Grey,SS,N,N,SFMTA,ON,0,407,07TH AVE,353000,Area 3,,37.7805755,-122.4653983
111-03830,-,0,Green,SS,N,N,SFMTA,ON,0,383,11TH AVE,495000,Area 3,,37.7812087,-122.469732
335-01010,-,0,Grey,SS,N,N,SFMTA,ON,0,101,BURROWS ST,3405000,Area 3,,37.7287496,-122.4041999
440-17470,-,0,Grey,SS,Y,N,SFMTA,ON,0,1747,GEARY BLVD,6041102,Area 5,Fillmore,37.7841836,-122.4326855
663-15060,-,0,Grey,SS,Y,N,SFMTA,ON,0,1506,STEINER ST,12133000,Area 5,Fillmore,37.783336,-122.4343337
663-15170,-,0,Grey,SS,Y,N,SFMTA,ON,0,1517,STEINER ST,12133000,Area 5,Fillmore,37.7835514,-122.4345131
327-07400,-,0,Grey,SS,N,N,SFMTA,ON,0,740,BROADWAY,3156000,Area 3,,37.7975423,-122.4099263
327-07460,-,0,Yellow,SS,N,N,SFMTA,ON,0,746,BROADWAY,3156000,Area 3,,37.7975159,-122.4101353
411-02380,411-02004,38,Grey,MS,Y,N,SFMTA,ON,0,238,FELL ST,5441000,Area 5,Civic Center,37.7760595,-122.4224595
614-19250,-,0,Grey,SS,Y,N,SFMTA,ON,0,1925,POST ST,10648000,Area 5,Fillmore,37.784972,-122.4339659
224-31280,-,0,Black,SS,N,N,SFMTA,ON,0,3128,24TH ST,1340000,MC3,,37.7524931,-122.4150339
224-30070,-,0,Grey,SS,N,N,SFMTA,ON,0,3007,24TH ST,1336000,Area 3,,37.7525495,-122.4123097
415-14200,-,0,Grey,SS,Y,N,SFMTA,ON,0,1420,FILLMORE ST,5545000,Area 5,Fillmore,37.7829334,-122.4325656
440-17190,-,0,Grey,SS,Y,N,SFMTA,ON,0,1719,GEARY BLVD,6041102,Area 5,Fillmore,37.7842799,-122.43193
667-12290,-,0,Yellow,SS,N,N,SFMTA,ON,0,1229,SOUTH VAN NESS AVE,12030000,Area 5,Mission,37.7532818,-122.4162464
